Word,Definition
entreat,ask for or request earnestly
enunciate,express or state clearly
epaulet,an ornamental cloth pad worn on the shoulder
ephemeral,"anything short-lived, as an insect that lives only for a day"
epic,a long narrative poem telling of a hero's deeds
epicure,a person devoted to refined sensuous enjoyment
epidermis,the outer layer of skin covering the body surface
epigram,a witty saying
epilogue,a short speech by an actor at the end of a play
episode,a happening that is distinctive in a series of events
epistemology,the philosophical theory of knowledge
epitaph,an inscription in memory of a buried person
epithet,descriptive word or phrase
epitome,a standard or typical example
equable,not varying
equity,"the quality of being fair, reasonable, or impartial"
equivalent,being essentially comparable to something
equivocate,be deliberately ambiguous or unclear
erode,remove soil or rock
errant,straying from the right course or from accepted standards
erratic,liable to sudden unpredictable change
erudite,having or showing profound knowledge
escalate,increase in extent or intensity
eschew,avoid and stay away from deliberately
esoteric,understandable only by an enlightened inner circle
espouse,"choose and follow a theory, idea, policy, etc."
esteem,the condition of being honored
estimable,deserving of respect or high regard
estrange,remove from customary environment or associations
etch,carve or cut a design or letters into
eternal,continuing forever or indefinitely
ethereal,characterized by lightness and insubstantiality
ethics,motivation based on ideas of right and wrong
eulogize,praise formally and eloquently
euphemism,an inoffensive expression substituted for an offensive one
euphonious,having a pleasant sound
euphoria,a feeling of great elation
evacuate,move out of an unsafe location into safety
evanescent,short-lived; tending to vanish or disappear
evasion,the act of physically escaping from something
evict,expel or eject without recourse to legal process
evince,give expression to
evoke,"call forth, as an emotion, feeling, or response"
ewe,female sheep
exacerbate,make worse
exacting,severe and unremitting in making demands
exalt,"praise, glorify, or honor"
exasperate,make furious
excavate,recover through digging
exceptional,surpassing what is common or usual or expected
excerpt,a passage selected from a larger work
excoriate,express strong disapproval of
exculpate,pronounce not guilty of criminal charges
execrate,curse or declare to be evil or anathema
exemplary,worthy of imitation
exempt,freed from or not subject to an obligation or liability
exhaust,wear out completely
exhilarate,fill with sublime emotion
exhort,spur on or encourage especially by cheers and shouts
exigent,demanding immediate attention
exodus,a journey by a group to escape from a hostile environment
exonerate,pronounce not guilty of criminal charges
exorbitant,greatly exceeding bounds of reason or moderation
exotic,characteristic of another place or part of the world
expansive,able or tending to extend in one or more directions
expedite,process fast and efficiently
expedition,an organized group of people undertaking a journey
expiate,make amends for
expire,lose validity
explicit,precisely and clearly expressed or readily observable
exploit,use or manipulate to one's advantage
exponent,notation of how many times to multiply a quantity by itself
expurgate,edit by omitting or modifying parts considered indelicate
exquisite,delicately beautiful
extant,still in existence; not extinct or destroyed or lost
extemporize,perform or speak without preparation
extenuate,lessen or to try to lessen the seriousness or degree of
extinct,no longer in existence
extinguish,"put out, as of fires, flames, or lights"
extol,"praise, glorify, or honor"
extort,obtain by coercion or intimidation
extract,"remove, usually with some force or effort"
extraction,taking out something
extraneous,not belonging to that in which it is contained
extravagant,recklessly wasteful
extricate,release from entanglement or difficulty
exuberant,joyously unrestrained
exude,release in drops or small quantities
exult,feel extreme happiness or elation
fable,a short moral story
fabricate,put together out of artificial or natural components
facetious,cleverly amusing in tone
facilitate,make easier
facile,arrived at without due care or effort; lacking depth
faction,a dissenting clique
fallacy,a misconception resulting from incorrect reasoning
fallow,left unplowed and unseeded during a growing season
falsehood,an untrue statement
falter,"move hesitatingly, as if about to give way"
fanatic,a person motivated by irrational enthusiasm
fantasy,imagination unrestricted by reality
farce,a comedy characterized by broad satire
fascinate,attract; cause to be enamored
fast,"acting, moving, or capable of acting or moving quickly"
fastidious,giving careful attention to detail
fateful,predetermined
fathom,a linear unit of measurement for water depth
fatigue,temporary loss of strength and energy from hard work
fatuous,devoid of intelligence
favorable,encouraging or approving or pleasing
fawn,a young deer
faze,disturb the composure of
feckless,generally incompetent and ineffectual
fecund,capable of producing offspring or vegetation
feeble,pathetically lacking in force or effectiveness
feign,make believe with the intent to deceive
fender,a guard that protects a vehicle's wheel
feral,wild and menacing
fervid,characterized by intense emotion
fervor,feelings of great warmth and intensity
fester,generate pus
fetid,offensively malodorous
fetter,a shackle for the ankles or feet
fiasco,a complete failure or collapse
fickle,liable to sudden unpredictable change
fictitious,formed or conceived by the imagination
fidelity,the quality of being faithful
fidget,move restlessly
figurative,not literal
figurehead,"a leader in name only, without real power or authority"
figurine,a small carved or molded figure
filibuster,a tactic for delaying legislation by making long speeches
filigree,delicate and intricate ornamentation
filing,the entering of a legal document into the public record
filly,a young female horse under the age of four
filter,device that removes something from what passes through it
finale,the closing section of a musical composition
finesse,subtly skillful handling of a situation
finicky,"fussy, especially about details"
flaccid,drooping without elasticity
flag,a rectangular piece of cloth of distinctive design
flamboyant,tending to attract attention; marked by ostentatious display
flatter,praise somewhat dishonestly
flaw,an imperfection in an object or machine
fleet,group of aircraft operating under the same ownership
flexible,able to bend easily
flinch,"draw back, as with fear or pain"
flirt,"talk or behave amorously, without serious intentions"
flit,move along rapidly and lightly; skim or dart
flock,a group of birds
florid,elaborately or excessively ornamented
flounder,"move clumsily or struggle to move, as in mud or water"
flourish,grow vigorously
flout,treat with contemptuous disregard
fluctuate,move or sway in a rising and falling or wavelike pattern
fluent,"expressing yourself readily, clearly, effectively"
fluke,a stroke of luck
flush,"rinse, clean, or empty with a liquid"
fluster,cause to be nervous or upset
foible,a minor weakness or peculiarity in someone's character
foil,"hinder or prevent, as an effort, plan, or desire"
foliage,the collective amount of leaves of one or more plants
foment,try to stir up
foolproof,not liable to failure
footloose,free to go or do as one pleases
forebear,a person from whom you are descended
forbearance,a delay in enforcing rights or claims or privileges
ford,cross a river where it's shallow
forestall,keep from happening or arising; make impossible
foreword,a short introductory essay preceding the text of a book
formidable,extremely impressive in strength or excellence
forthright,directly and without evasion; not roundabout
fortify,make strong or stronger
foster,providing nurture though not related by blood or legal ties
founder,a person who establishes some institution
fracas,a noisy quarrel
fracture,breaking of hard tissue such as bone
fragile,easily broken or damaged or destroyed
frail,physically weak
fraudulent,intended to deceive
fraught,filled with or attended with
frenzy,state of violent mental agitation
frequent,coming at short intervals or habitually
fresco,a mural done with watercolors on wet plaster
fret,be agitated or irritated
friction,the resistance when a body is moved in contact with another
frieze,an ornament consisting of a horizontal sculptured band
frigid,extremely cold
fringe,an ornamental border of short lengths of hanging threads
frivolous,"not serious in content, attitude, or behavior"
frond,compound leaf of a fern or palm or cycad
frothy,emitting or filled with bubbles
frowsy,"messy or unkempt, especially in dress and person"
frugal,avoiding waste
frustrate,"hinder or prevent, as an effort, plan, or desire"
fulminate,cause to explode violently and with loud noise
fumble,feel about uncertainly or blindly
furnace,an enclosed chamber in which heat is produced for a building
furor,an interest followed with exaggerated zeal
furtive,secret and sly
fury,the property of being wild or turbulent
fussy,exacting especially about details
fusty,stale and unclean smelling
futile,producing no result or effect
gadfly,any of various large flies that annoy livestock
gadget,a small mechanical device or tool
gaffe,a socially awkward or tactless act
gainsay,take exception to
gait,an animal's manner of moving
galaxy,a collection of star systems
gall,a digestive juice secreted by the liver
gallant,having or displaying great dignity or nobility
galley,a large medieval vessel with guns at stern and prow
galvanize,stimulate (muscles) by administering a shock
gamble,take a risk in the hope of a favorable outcome
gambol,play or run boisterously
gangly,"tall, thin, and awkward"
gangway,a temporary bridge or passage often made of planks
garble,distort or make false by mutilation or addition
gargantuan,of great mass; huge and bulky
garish,tastelessly showy
garment,an article of clothing
garrulous,full of trivial conversation
gash,cut open
gauche,lacking social poise or refinement
gaudy,tastelessly showy
gauge,an instrument for measuring and indicating a quantity
gear,a toothed wheel that engages another toothed mechanism
genial,diffusing warmth and friendliness
genteel,marked by refinement in taste and manners
germane,relevant and appropriate
gerrymander,divide voting districts unfairly and to one's advantage
geyser,a spring that discharges hot water and steam
gibe,laugh at with contempt and derision
giddy,lacking seriousness; given to frivolity
gild,a formal association of people with similar interests
girder,a beam used as a main support in a structure
gist,the central meaning or theme of a speech or literary work
glacier,a slowly moving mass of ice
gladiator,a professional combatant in ancient Rome
glaze,"a coating, as for ceramics or metal"
glib,artfully persuasive in speech
glisten,"be shiny, as if wet"
glitch,"a fault or defect in a computer program, system, or machine"
gloat,dwell on with satisfaction
gloomy,depressingly dark
gloss,the property of being smooth and shiny
glossary,an alphabetical list of technical terms in a field
glossy,reflecting light
glut,supply with an excess of
glutinous,having the sticky properties of an adhesive
glutton,a person who is devoted to eating and drinking to excess
goad,stab or urge on as if with a pointed stick
gobble,eat hastily without proper chewing
goggle,look with amazement
gorge,"a deep ravine, usually with a river running through it"
gossamer,a gauze fabric with an extremely fine texture
gourmand,a person who is devoted to eating and drinking to excess
gourmet,a person devoted to and knowledgeable about fine food
grandeur,the quality of being magnificent or splendid
grandiloquent,lofty in style
grandiose,impressive because of unnecessary largeness or magnificence
grandstand,a covered structure with tiers of seats for spectators
grate,reduce to shreds by rubbing against a perforated surface
gratify,make happy or satisfied
gratuitous,unnecessary and unwarranted
gravel,rock fragments and pebbles
gregarious,temperamentally seeking and enjoying the company of others
grieve,"feel intense sorrow, especially due to a loss"
grimace,contort the face to indicate a certain mental state
grin,draw the lips back into a smile or snarl
gripe,complain
grisly,shockingly repellent; inspiring horror
groove,a long narrow furrow cut by a natural process or a tool
grotesque,distorted and unnatural in shape or size
grotto,"a small cave, usually with attractive features"
grove,a small growth of trees without underbrush
grovel,show submission or fear
grueling,characterized by effort to the point of exhaustion
guarantee,an unconditional commitment that something will happen
guile,shrewdness as demonstrated by being skilled in deception
guilt,the state of having committed an offense
gullible,naive and easily deceived or tricked
gully,a deep ditch cut by running water
gush,flow forth in a sudden stream or jet
gust,a strong current of air
guzzle,drink greedily or as if with great thirst
habitable,fit to be lived in
hack,chop or cut away
hackneyed,repeated too often; overfamiliar through overuse
halcyon,a mythical bird said to breed at the winter solstice
hale,exhibiting or restored to vigorous good health
half-baked,not thoroughly cooked
hallmark,a mark on an article of trade to indicate its origin
hallow,render holy by means of religious rites
hallucination,illusory perception
hamper,prevent the progress or free movement of
hamstring,one of the tendons at the back of the knee
hankering,a yearning for something or to do something
haphazard,dependent upon or characterized by chance
harangue,a loud bombastic declamation expressed with strong emotion
harass,annoy continually or chronically
harbinger,something indicating the approach of something or someone
harbor,a sheltered port where ships can take on or discharge cargo
hardy,having rugged physical strength
harmonious,exhibiting equivalence or correspondence among constituents
harness,an arrangement of leather straps fitted to a draft animal
harp,a chordophone with strings between the neck and the soundbox
harrow,a cultivator that pulverizes or smooths the soil
harry,"make a pillaging or destructive raid on, as in wartimes"
harsh,disagreeable to the senses
hasten,move fast
hasty,excessively quick
hatch,a movable barrier covering an entrance
haunt,follow stealthily or pursue like a ghost
hauteur,overbearing pride with a superior manner toward inferiors
haven,a sheltered port where ships can take on or discharge cargo
havoc,violent and needless disturbance
headlong,with the upper or anterior part of the body foremost
hearken,listen; used mostly in the imperative
hearten,give encouragement to
heartrending,causing or marked by grief or anguish
hedonism,an ethical system that values the pursuit of pleasure
hegemony,the dominance or leadership of one social group over others
heinous,extremely wicked or deeply criminal
heirloom,something that has been in a family for generations
hem,the edge of a piece of cloth
hew,make or shape as with an axe
herald,a person who announces important news
herbicide,a chemical agent that destroys plants or inhibits growth
heresy,a belief that rejects the orthodox tenets of a religion
heretical,departing from accepted beliefs or standards
hermetic,completely sealed or airtight
hermit,one retired from society for religious reasons
herpetologist,a scientist who studies reptiles and amphibians
hesitance,a feeling of indecision or uncertainty about doing something
heterodox,characterized by departure from accepted standards
hidebound,stubbornly inflexible and narrow-minded
hideous,grossly offensive to decency or morality; causing horror
hieroglyph,a symbol in a pictorial writing system
hike,"walk a long way, as for pleasure or physical exercise"
hilarious,extremely funny; causing laughter
histrionic,overly dramatic or emotional
hive,a structure that provides a natural habitation for bees
hoard,a secret store of valuables or money
hoary,having gray or white hair as with age
hoax,something intended to deceive
hodgepodge,a motley assortment of things
homage,respectful deference
homely,lacking in physical beauty or proportion
homily,a sermon on a moral or religious topic
homogenize,make uniform or consistent throughout
hone,sharpen with a whetstone
honorarium,a fee paid for a nominally free service
hoodwink,conceal one's true motives from
hortative,serving to urge or call to action
horticulture,the cultivation of plants
hovel,small crude shelter used as a dwelling
hub,central part of a car wheel through which the axle passes
hubris,overbearing pride or presumption
humble,marked by meekness or modesty; not arrogant or prideful
humility,a lack of arrogance or false pride
humor,a message that has the power to evoke laughter
hurricane,a severe tropical cyclone usually with heavy rains and winds
husbandry,the practice of cultivating the land or raising stock
husky,deep and harsh sounding
hybrid,the offspring of genetically dissimilar parents or stock
hymn,"a song of praise, especially a religious song"
hyperbole,extravagant exaggeration
hypnotic,of or relating to a state that resembles sleep
hypocritical,professing feelings or virtues one does not have
iconoclast,someone who attacks cherished ideas or institutions
idyll,a short poem descriptive of rural or pastoral life
ignite,cause to start burning
ignominy,a state of dishonor
illiteracy,an inability to read
illumination,the quality of providing light
illusory,having the nature of something unreal or deceptive
imbibe,take in liquids
imbroglio,an intricate and confusing interpersonal situation
imitation,copying the actions of someone else
immaculate,completely neat and clean
immanent,inherent; existing or remaining within
immaterial,lacking importance; not mattering one way or the other
immature,not yet fully developed
immemorial,long past
immune,of the condition in which an organism can resist disease
immure,"lock up or confine, in or as in a jail"
immutable,not subject or susceptible to change or variation
imp,one who is playfully mischievous
impassive,having or revealing little emotion or sensibility
impeccable,without error or flaw
impecunious,not having enough money to pay for necessities
impede,be a hindrance or obstacle to
impend,be imminent or about to happen
impenetrable,not admitting of passage into or through
impenitent,not remorseful
imperative,requiring attention or action
imperial,relating to or associated with an empire
imperious,having or showing arrogant superiority
impertinent,improperly forward or bold
impertinence,the trait of being rude and inclined to take liberties
imperturbable,marked by extreme calm and composure
impervious,not admitting of passage or capable of being affected
impetuous,characterized by undue haste and lack of thought
impiety,unrighteousness by virtue of lacking respect for a god
implacable,incapable of being appeased or pacified
implement,a piece of equipment or a tool used for a specific purpose
implode,burst inward
imposing,"befitting an important, distinguished, or powerful person"
importune,beg persistently and urgently
impotent,(of a male) unable to copulate
imprecise,not sharply exact or accurate
impresario,a sponsor who books and stages public entertainments
impromptu,with little or no preparation or forethought
improvise,manage in a makeshift way; do with whatever is at hand
imprudent,"not sensible, responsible, or wise"
impudent,improperly forward or bold
impugn,attack as false or wrong
impuissance,powerlessness revealed by an inability to act
inadvertent,happening by chance or unexpectedly or unintentionally
inalienable,incapable of being repudiated or transferred to another
inane,devoid of intelligence
inanimate,not endowed with life
inaugurate,commence officially
incandescent,emitting light as a result of being heated
incantation,a ritual reciting of words believed to have a magical effect
incarnate,possessing or existing in bodily form
incendiary,capable of causing fires or catching fire spontaneously
incense,make furious
inception,an event that is a beginning
incessant,uninterrupted in time and indefinitely long continuing
inch,a unit of length equal to one-twelfth of a foot
inchoate,only partly in existence; imperfectly formed
incinerate,become reduced to ashes
incipient,only partly in existence; imperfectly formed
incite,provoke or stir up
inclement,"severe, of weather"
incongruent,not corresponding in character or kind
inconsequential,lacking worth or importance
incontrovertible,impossible to deny or disprove
incorrigible,impervious to correction by punishment
incriminate,suggest that someone is guilty
incursion,the act of entering some territory or domain
indelible,"not able to be forgotten, removed, or erased"
indemnity,protection against future loss
indict,accuse formally of a crime
indifferent,marked by a lack of interest
indigenous,originating where it is found
indigent,poor enough to need help from others
indispensable,essential
indoctrinate,teach uncritically
indolent,disinclined to work or exertion
inducement,a positive motivational influence
indulgent,given to yielding to the wishes of someone
ineffable,defying expression or description
ineluctable,impossible to avoid or evade
inept,generally incompetent and ineffectual
inert,unable to move or resist motion
inevitable,incapable of being avoided or prevented
inexorable,"impossible to prevent, resist, or stop"
infamy,a state of extreme dishonor
infatuate,arouse unreasonable love or passion in
inferno,a very intense and uncontrolled fire
infiltrate,pass through an enemy line in a military conflict
infinite,having no limits or boundaries in time or space
infirm,lacking bodily or muscular strength or vitality
inflame,arouse or excite feelings and passions
infelicitous,not appropriate in application; defective
influx,the process of flowing in
infuse,"fill, as with a certain quality"
infuriate,make extremely angry
ingenuity,the power of creative imagination
ingenious,showing inventiveness and skill
ingenuous,lacking in sophistication or worldliness
ingest,"take food, drink, or some other substance into the body"
ingrained,deeply rooted; firmly fixed or held
ingrate,a person who shows no thankfulness or appreciation
ingratiating,capable of winning favor
inherent,existing as an essential constituent or characteristic
inimical,tending to obstruct or cause harm
inimitable,matchless
iniquity,absence of moral or spiritual values
initiate,"set in motion, start an event or prepare the way for"
inkling,a slight suggestion or vague understanding
innocuous,not injurious to physical or mental health
innovation,the act of starting something for the first time
inquisitive,given to questioning
insensible,barely able to be perceived
insensitive,not noticing or caring about the feelings or needs of others
insentient,"lacking consciousness, responsiveness, or emotions"
insight,clear or deep perception of a situation
insipid,lacking interest or significance or impact
insolent,marked by casual disrespect
insouciant,marked by unconcern
instigate,provoke or stir up
instill,impart gradually
institute,set up or lay the groundwork for
insubordinate,not submissive to authority
insular,relating to or characteristic of or situated on an island
insulate,"surround with material to protect from heat, cold, or noise"
insurgent,in opposition to a civil authority or government
intangible,"incapable of being perceived by the senses, especially touch"
integral,existing as an essential constituent or characteristic
integrity,an undivided or unbroken completeness with nothing wanting
intelligible,capable of being apprehended or understood
intemperate,excessive in behavior
intensify,increase in extent or strength
inter,place in a grave or tomb
interdict,command against
interim,"the time between one event, process, or period and another"
interlock,coordinate or join up so that all parts work together
interminable,tiresomely long; seemingly without end
intermittent,stopping and starting at irregular intervals
interregnum,the time between two reigns or governments
interrogate,pose a series of questions to
intimate,"marked by close acquaintance, association, or familiarity"
intimidate,compel or deter by or as if by threats
intransigent,"impervious to pleas, persuasion, requests, or reason"
intrepid,invulnerable to fear or intimidation
intrigue,a crafty and involved plot to achieve your ends
intrinsic,belonging to a thing by its very nature
intuitive,spontaneously derived from or prompted by a natural tendency
inundate,"fill or cover completely, usually with water"
inure,cause to accept or become hardened to
invective,abusive language used to express blame or censure
inveigh,complain bitterly
inveigle,"influence or urge by gentle urging, caressing, or flattering"
inventory,a detailed list of all the items in stock
inveterate,habitual
invidious,containing or implying a slight or showing prejudice
invigorate,give life or energy to
invincible,incapable of being overcome or subdued
invoke,request earnestly; ask for aid or protection
irascible,quickly aroused to anger
irate,feeling or showing extreme anger
iridescence,"the visual property of having lustrous, varying colors"
irk,irritate or vex
ironclad,inflexibly entrenched and unchangeable
irreducible,incapable of being made smaller or simpler
irrigate,"supply with water, as with channels or ditches or streams"
irritate,cause annoyance in
issue,some situation or event that is thought about
isthmus,a narrow strip of land connecting two larger land areas
itinerary,an established line of travel or access
jabber,"talk in a noisy, excited, or declamatory manner"
jaded,exhausted
jargon,technical terminology characteristic of a particular subject
jaundice,yellowing of the skin and the whites of the eyes
jaunty,"having a cheerful, lively, and self-confident air"
jejune,lacking interest or significance or impact
jest,activity characterized by good humor
jeopardy,a source of danger
jettison,"throw away, of something encumbering"
jibe,shift from one side of the ship to the other
jingoist,an extreme bellicose nationalist
jocular,characterized by jokes and good humor
jocund,full of or showing high-spirited merriment
jog,give a slight push to
jolt,move or cause to move with a sudden jerky motion
jot,write briefly or hurriedly; write a short note of
jovial,full of or showing high-spirited merriment
jubilant,full of high-spirited delight
judicious,marked by the exercise of common sense in practical matters
juggernaut,a massive inexorable force
kangaroo,a leaping marsupial with powerful hind legs and a thick tail
ken,range of what one can know or understand
kidnap,"take someone away against their will, often for ransom"
kindle,catch fire
kindred,group of people related by blood or marriage
knack,a special way of doing something
knave,a deceitful and unreliable scoundrel
knead,use the hands to mix and work something into a uniform mass
knit,make by needlework with interlacing yarn
knotty,tangled in snarls
kudos,an expression of approval and commendation
labile,liable to change
labored,requiring or showing effort
labyrinth,complex system of paths in which it is easy to get lost
lacerate,cut or tear irregularly
lackluster,not having brilliance or vitality
laconic,brief and to the point
lachrymose,showing sorrow
lambaste,censure severely or angrily
lament,a cry of sorrow and grief
lamentable,bad; unfortunate
laminate,cover with a thin sheet of plastic or other material
lampoon,ridicule with satire
landfill,an area where waste is disposed of by burying it underground
languid,lacking spirit or liveliness
languish,become feeble
languor,inactivity; showing an unusual lack of energy
lank,long and thin and often limp
lapse,"drop to a lower level, as in one's morals or standards"
larder,a small storeroom for storing foods or wines
largesse,liberality in bestowing gifts
lariat,a long looped rope used to catch animals
lassitude,a feeling of lack of interest or energy
latent,potentially existing but not presently evident or realized
lathe,a machine tool for shaping a piece of rotating wood or metal
latitude,an imaginary line around the Earth parallel to the equator
laudatory,full of or giving praise
lavish,very generous
leaven,a substance used to produce fermentation in dough
leer,look suggestively or obliquely
leery,openly distrustful and unwilling to confide
legacy,a gift of personal property by will
legend,a story about mythical or supernatural beings or events
legion,a large military unit
lenient,inclined to be permissive or indulgent
lethal,of an instrument of certain death
lethargic,deficient in alertness or activity
levee,an embankment built to prevent a river from overflowing
levelheaded,exercising or showing good judgment
levity,a manner lacking seriousness
lexicographer,a compiler or writer of a dictionary
liability,the state of being legally obliged and responsible
libertine,unrestrained by convention or morality
libretto,the words of an opera or musical play
licentious,lacking moral discipline
lien,the right to take and hold the property of a debtor
liken,consider or describe as similar or equal
limber,easily bent
limerick,a humorous rhymed verse form of five lines
limousine,large luxurious car; usually driven by a chauffeur
limp,walk impeded by some physical injury
limpid,clear and bright
linen,a fabric woven with fibers from the flax plant
linger,remain present although waning or gradually dying
linoleum,a floor covering
lissome,moving and bending with ease
lithe,moving and bending with ease
loath,strongly opposed
loathe,dislike intensely; feel disgust toward
locomotive,a self-propelled vehicle that draws a train along a track
lode,a deposit of valuable ore
lofty,of imposing height; especially standing out above others
loll,be lazy or idle
lopsided,having one side lower or smaller or lighter than the other
loquacious,full of trivial conversation
lottery,a game in which players buy chances to win
lubricate,make slippery or smooth
lucid,transparently clear; easily understandable
lug,carry with difficulty
lugubrious,excessively mournful
lull,make calm or still
lullaby,a quiet song intended to help a child go to sleep
lumber,the wood of trees prepared for use as building material
luminary,a celebrity who is an inspiration to others
lurch,move suddenly or as if unable to control one's movements
lurk,lie in wait or behave in a sneaky and secretive manner
lush,produced or growing in extreme abundance
lustrous,reflecting light
luxury,something that is an indulgence rather than a necessity
lyric,of or relating to poetry that expresses emotion
macabre,shockingly repellent; inspiring horror
macerate,soften and cause to disintegrate as a result
maculate,morally blemished; stained or impure
maelstrom,a powerful circular current of water
magnificent,characterized by grandeur
maladroit,not quick or skillful in action or thought
malaise,a feeling of mild sickness or depression
malcontent,dissatisfied as toward authority
malicious,having the nature of threatening evil
malign,speak unfavorably about
malinger,"avoid responsibilities and duties, often by faking illness"
malleable,capable of being shaped or bent
mandatory,required by rule
mangle,destroy or injure severely
mangy,affected with a skin disease causing itching and hair loss
mania,an irrational but irresistible motive for a belief or action
manifest,clearly revealed to the mind or the senses or judgment
manipulate,influence or control shrewdly or deviously
mannered,having unnatural behavioral attributes
manumit,free from slavery or servitude
manuscript,the form of a literary work submitted for publication
mar,cause to become imperfect
marsh,low-lying wet land with grassy vegetation
marsupial,a mammal the female of which has a pouch carrying the young
martial,suggesting war or military life
martinet,someone who demands exact conformity to rules and forms
marvel,be amazed at
masquerade,a party of guests wearing costumes and disguises
mash,"compress with violence, out of natural shape or condition"
masticate,bite and grind with the teeth
mastery,great skillfulness and knowledge of some subject or activity
matriculate,enroll as a student
maudlin,very sentimental or emotional
maven,one who is very skilled in or knowledgeable about a field
maverick,someone who exhibits independence in thought and action
mawkish,very sentimental or emotional
meager,deficient in amount or quality or extent
mean,denote or connote
meander,move or cause to move in a winding or curving course
measly,contemptibly small in amount
meddle,intrude in other people's affairs or business
media,systems of mass communications considered collectively
mediate,act between parties with a view to reconciling differences
mediocre,moderate to inferior in quality
medley,a musical composition consisting of a series of songs
meek,humble in spirit or manner
mellifluous,pleasing to the ear
melody,a succession of notes forming a distinctive sequence
melodrama,a story with characters behaving in an extreme emotional way
membrane,a sheet of tissue that lines or connects organs or cells
menace,something that is a source of danger
mendacious,given to lying
mentor,a wise and trusted guide and advisor
mercenary,a person hired to fight for another country than their own
mercurial,liable to sudden unpredictable change
mesh,an open fabric woven together at regular intervals
metaphysics,the philosophical study of being and knowing
metamorphose,change in outward structure or looks
meteoric,of extraterrestrial bodies that hit the earth's atmosphere
meteorology,the earth science dealing with phenomena of the atmosphere
methodical,characterized by orderliness
metrical,relating to the rhythmic arrangement of syllables
mettle,the courage to carry on
miff,a state of irritation or annoyance
migratory,(of animals) moving seasonally
mime,an actor who communicates entirely by gesture
mimicry,imitative behavior
minaret,"a slender tower with balconies, especially on a mosque"
minatory,threatening or foreshadowing evil or tragic developments
mince,cut into small pieces
mingle,bring or combine together or with something else
minimize,make small or insignificant
minion,a servile or fawning dependent
minuscule,very small
minute,a unit of time equal to 60 seconds or 1/60th of an hour
minutia,a small or minor detail
mirage,optical illusion in which hot air distorts distant objects
mire,a soft wet area of low-lying land that sinks underfoot
mirth,great merriment
misanthrope,someone who dislikes people in general
misbehave,act badly
mischievous,naughtily or annoyingly playful
misconstrue,interpret in the wrong way
miscreant,a person without moral scruples
misdemeanor,a crime less serious than a felony
miser,a stingy hoarder of money and possessions
misfortune,a state resulting from unfavorable outcomes
misgiving,uneasiness about the fitness of an action
mishap,an unpredictable outcome that is unfortunate
misrepresent,describe or present falsely
mite,"small arachnid that infests animals, plants, or stored foods"
mitigate,lessen or to try to lessen the seriousness or extent of
mobility,the quality of moving freely
mockery,showing your contempt by derision
moderate,marked by avoidance of extravagance or extremes
modicum,a small or moderate or token amount
mollify,cause to be more favorably inclined
mollycoddle,treat with excessive indulgence
molt,"cast off hair, skin, horn, or feathers"
momentous,of very great significance
momentum,the product of a body's mass and its velocity
mongrel,derogatory term for a variation that is not genuine
monochromatic,having or appearing to have only one color
monocle,lens for correcting defective vision in one eye
monologue,a dramatic speech by a single actor
monotonous,sounded or spoken in a tone unvarying in pitch
montage,the technique of splicing together different sections of film to convey an idea
moratorium,suspension of an ongoing activity
morbid,suggesting the horror of death and decay
mordant,harshly ironic or sinister
moribund,being on the point of death
morose,showing a brooding ill humor
mortar,a vessel in which substances can be ground with a pestle
mosaic,design made of small pieces of colored stone or glass
mosque,a Muslim place of worship that usually has a minaret
motile,capable of movement
motivate,give an incentive for action
motley,consisting of a haphazard assortment of different kinds
mottle,mark with spots or blotches of different color
motto,a favorite saying of a sect or political group
mournful,expressing sorrow
movement,change of position that does not entail a change of location
muddy,"soft and watery, of soil"
mulish,unreasonably stubborn or rigid
mumble,talk indistinctly; usually in a low voice
mundane,found in the ordinary course of events
munificent,very generous
mural,a painting that is applied to a wall surface
murky,"cloudy, dirty, and difficult to see through"
murmur,a low continuous indistinct sound
musket,a muzzle-loading shoulder gun with a long barrel
mutate,undergo a change or alteration in form or qualities
mute,expressed without speech
mutter,talk indistinctly; usually in a low voice
myopic,unable to see distant objects clearly
myriad,a large indefinite number
nadir,the lowest point of anything
naive,marked by or showing unaffected simplicity
narcissism,an exceptional interest in and admiration for yourself
nascent,being born or beginning
natty,marked by up-to-dateness in dress and manners
nauseate,upset and make ill
nautical,relating to ships or navigation
nebulous,lacking definite form or limits
needy,poor enough to need help from others
nefarious,extremely wicked
negation,the speech act of denying or refusing
negligence,failure to act with the prudence of a reasonable person
neologism,a newly invented word or phrase
negotiate,discuss the terms of an arrangement
neophyte,a participant with no experience with an activity
nepotism,favoritism shown to relatives or friends by those in power
nerve,a bundle of fibers running to organs and tissues of the body
nettle,plant having stinging hairs that cause skin irritation
neutralize,make ineffective by counterbalancing the effect of
nicety,conformity with some standard of correctness or propriety
nexus,the means of connection between things linked in series
nibble,bite off very small pieces
nil,a quantity of no importance
nip,sever or remove by pinching
nitpick,be overly critical; criticize minor details
nocturnal,belonging to or active during the night
noisome,causing or able to cause nausea
nomad,a member of a people who have no permanent home
nominal,relating to or constituting or bearing or giving a name
nonchalant,marked by casual unconcern or indifference
nondescript,lacking distinct or individual characteristics
nonentity,a person of no influence
nonplus,be a mystery or bewildering to
nonsense,a message that seems to convey no meaning
notch,a small cut
novel,an extended fictional work in prose
noxious,injurious to physical or mental health
nuance,a subtle difference in meaning or opinion or attitude
nudge,push against gently
nugatory,of no real value
